ticker,event_date,horizon,direction,surprise_pct,stock_return,spy_return,abnormal_return,direction_correct
UNM,2023-08-01,5,long,10.8,2.0529710832398176,-1.6934047086086388,3.7463757918484566,True
UNM,2023-08-01,10,long,10.8,0.4516749606875617,-2.9771214279484868,3.428796388636049,True
UNM,2023-05-02,1,long,13.04,5.888031411267825,-0.6864092829977847,6.5744406942656095,True
UNM,2023-05-02,3,long,13.04,6.611972428661186,0.4357020824390486,6.176270346222138,True
UNM,2023-05-02,5,long,13.04,6.925678221961411,0.02189896018920331,6.903779261772207,True
UNM,2023-05-02,10,long,13.04,7.480687783208256,-0.14360530678883976,7.624293089997096,True
SYF,2026-01-27,1,long,7.83,-3.8879429823819796,-0.01006699036499264,-3.877875992016987,False
SYF,2026-01-27,3,long,7.83,-4.922109436710391,-0.506121460526706,-4.415987976183685,False
SYF,2026-01-27,5,long,7.83,-3.259583095754634,-0.8569437550032458,-2.402639340751388,False
SYF,2026-01-27,10,long,7.83,-2.865740034991749,-0.48455310966604426,-2.3811869253257045,False
SYF,2025-10-15,1,long,28.94,-4.3567014266726,-0.6810260525524843,-3.6756753741201154,False
SYF,2025-10-15,3,long,28.94,-1.620142136129431,0.9215662371868703,-2.5417083733163013,False
SYF,2025-10-15,5,long,28.94,-0.5990468325466739,0.3953880438442762,-0.9944348763909501,False
SYF,2025-10-15,10,long,28.94,-0.3267554497474526,3.340496507940844,-3.6672519576882965,False
SYF,2025-07-22,1,long,41.03,4.80552620168573,0.8507443242031117,3.9547818774826187,True
SYF,2025-07-22,3,long,41.03,5.997804932038023,1.3103011055653342,4.68750382647269,True
SYF,2025-07-22,5,long,41.03,3.671388779282255,1.0177179591258643,2.653670820156391,True
SYF,2025-07-22,10,long,41.03,2.209397733404638,-0.14152481313957904,2.3509225465442167,True
SYF,2025-04-22,1,long,9.81,5.228759534480572,1.549547283731662,3.67921225074891,True
SYF,2025-04-22,3,long,9.81,8.412402398316006,4.436231867258337,3.9761705310576683,True
SYF,2025-04-22,5,long,9.81,10.54185470737144,5.134183839722904,5.407670867648537,True
SYF,2025-04-22,10,long,9.81,13.21385969336901,5.983870610811307,7.229989082557703,True
