ticker,cluster_date,n_insiders,total_value,window_start,window_end,spy_5d_prior,spy_10d_prior,vix
ANTX,2022-03-31,9,134799930.0,2022-03-31,2022-03-31,0.2552803018376903,2.7145347009118224,20.559999465942383
LCII,2022-04-01,4,2966137.5,2022-03-10,2022-04-01,0.0508307424615373,1.889693662349146,19.6299991607666
NAVI,2022-04-04,7,76911233.28,2022-04-04,2022-04-04,0.1952233587811747,2.7925989929040567,18.56999969482422
TELA,2022-04-04,4,230800.0,2022-04-04,2022-04-04,0.1952233587811747,2.7925989929040567,18.56999969482422
CGEM,2022-04-05,10,29670000.0,2022-04-05,2022-04-05,-2.279298111848567,0.32027175755869824,21.030000686645508
VERA,2022-04-05,4,19999980.0,2022-04-05,2022-04-05,-2.279298111848567,0.32027175755869824,21.030000686645508
MDVL,2022-04-06,8,119717638.08,2022-04-06,2022-04-06,-2.6553141789104484,0.6129076937454101,22.100000381469727
HPQ,2022-04-06,3,797276622.8,2022-04-01,2022-04-06,-2.6553141789104484,0.6129076937454101,22.100000381469727
GRPN,2022-04-07,3,39201733.4,2022-04-04,2022-04-07,-0.6354510417069819,-0.3817929212065919,21.549999237060547
BRZE,2022-04-08,8,108389726.72,2022-04-08,2022-04-08,-1.1812232428618912,-1.1309929249448287,21.15999984741211
NLSN,2022-04-08,3,2610771097.2,2022-04-08,2022-04-08,-1.1812232428618912,-1.1309929249448287,21.15999984741211
QRHC,2022-04-08,8,943896.0,2022-04-08,2022-04-08,-1.1812232428618912,-1.1309929249448287,21.15999984741211
BDSX,2022-04-11,3,7499997.97,2022-04-11,2022-04-11,-3.695267217566283,-3.507257883563181,24.3700008392334
CXM,2022-04-13,5,698679969.75,2022-04-13,2022-04-13,-0.7189066690337467,-3.3551316172282095,21.81999969482422
HCP,2022-04-13,3,272545.5,2022-04-13,2022-04-13,-0.7189066690337467,-3.3551316172282095,21.81999969482422
NYC,2022-04-13,6,853380.0,2022-04-13,2022-04-13,-0.7189066690337467,-3.3551316172282095,21.81999969482422
WULF,2022-04-13,4,10283419.2,2022-03-14,2022-04-13,-0.7189066690337467,-3.3551316172282095,21.81999969482422
TRVI,2022-04-13,11,67620988.6,2022-04-13,2022-04-13,-0.7189066690337467,-3.3551316172282095,21.81999969482422
LYRA,2022-04-14,13,181499942.3,2022-04-13,2022-04-14,-2.4466850580184194,-3.0665886140369345,22.700000762939453
OCX,2022-04-15,4,24018970.48,2022-03-17,2022-04-15,-2.1851234462307536,-3.3405355030605426,22.700000762939453
IHRT,2022-04-15,5,370547042.1,2022-04-15,2022-04-15,-2.1851234462307536,-3.3405355030605426,22.700000762939453
CRNX,2022-04-18,3,10499949.9,2022-04-18,2022-04-18,-2.144923204496086,-3.3008101159249312,22.170000076293945
SUP,2022-04-19,3,330000.0,2022-04-19,2022-04-19,1.1638376578534135,-2.574436471149218,21.3700008392334
EE,2022-04-20,6,10705632.0,2022-04-20,2022-04-20,1.4647676817207123,-1.4012203806151156,20.31999969482422
INZY,2022-04-20,7,16243195.5,2022-04-20,2022-04-20,1.4647676817207123,-1.4012203806151156,20.31999969482422
PHX,2022-04-21,10,2513521.0,2022-04-21,2022-04-21,-1.184270285618299,-1.8946631565893508,22.68000030517578
NNBR,2022-04-21,5,4327170.44,2022-03-24,2022-04-21,-1.184270285618299,-1.8946631565893508,22.68000030517578
AFRM,2022-04-21,3,14082633.18,2022-04-21,2022-04-21,-1.184270285618299,-1.8946631565893508,22.68000030517578
AMWL,2022-04-22,3,810000.0,2022-04-22,2022-04-22,-2.683941552176117,-5.064959013271496,28.209999084472656
XRX,2022-04-25,3,108889779.24,2022-04-25,2022-04-25,-2.159965944920578,-4.258559538654849,27.020000457763672
ROIV,2022-04-26,3,364060.65,2022-04-26,2022-04-26,-6.5027790344588094,-5.414623167815424,33.52000045776367
NKTX,2022-04-28,5,165000000.0,2022-04-28,2022-04-28,-2.339848565251167,-3.4964087195827305,29.989999771118164
VAXX,2022-04-28,3,187386.75,2022-04-28,2022-04-28,-2.339848565251167,-3.4964087195827305,29.989999771118164
GE,2022-05-03,3,5391756.3,2022-05-02,2022-05-03,0.06729074009815829,-6.439864062499886,29.25
SMFR,2022-05-03,22,291500000.0,2022-05-03,2022-05-03,0.06729074009815829,-6.439864062499886,29.25
CNC,2022-05-03,3,1734497.55,2022-05-02,2022-05-03,0.06729074009815829,-6.439864062499886,29.25
